% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.35    0.367595          79      4599         6 lseek
 18.21    0.345779         179      1923           close
 13.25    0.251709         131      1911         3 open
 13.15    0.249825          86      2878           fstat
 10.14    0.192642          98      1965           read
  8.16    0.155030          84      1824      1813 ioctl
  7.64    0.145199         150       962         3 select
  5.41    0.102787         106       966           write
  2.38    0.045186       22593         2         1 wait4
  0.99    0.018749         110       170        38 futex
  0.64    0.012218          35       344        35 stat
  0.17    0.003244          32       101           mmap
  0.12    0.002186          32        67           rt_sigaction
  0.11    0.002164          33        64           mprotect
  0.06    0.001210          35        34           brk
  0.05    0.000999          38        26           getdents
  0.03    0.000551          34        16           lstat
  0.03    0.000514          36        14           munmap
  0.03    0.000498          38        13           openat
  0.01    0.000277          46         6         2 readlink
  0.01    0.000107          53         2           statfs
  0.01    0.000099          33         3           dup
  0.00    0.000091          22         4           clone
  0.00    0.000088          44         2           getrandom
  0.00    0.000078          26         3           fcntl
  0.00    0.000078          39         2           getrlimit
  0.00    0.000073          36         2           getcwd
  0.00    0.000073          36         2           pipe2
  0.00    0.000071          23         3         2 access
  0.00    0.000043          43         1           arch_prctl
  0.00    0.000042           8         5           set_robust_list
  0.00    0.000039          39         1           set_tid_address
  0.00    0.000036          36         1           rt_sigprocmask
  0.00    0.000036          36         1           sigaltstack
  0.00    0.000030          30         1         1 mkdir
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.899346                 17919      1904 total
