file,elapsed_sec,user_sec,sys_sec,cpu_pct,vol_cs,invol_cs
logs/A_baseline_r1.time,17.47,19.01,0.03,108,2,25
logs/A_baseline_r2.time,13.82,15.06,0.01,109,1,21
logs/A_baseline_r3.time,15.43,16.80,0.02,109,1,23
logs/B_same_A_r1.time,30.86,16.81,0.01,54,1,1282
logs/B_same_A_r2.time,28.77,15.67,0.01,54,1,1204
logs/B_same_A_r3.time,29.83,16.28,0.02,54,1,1242
logs/B_same_B_r1.time,30.88,16.81,0.03,54,1,1284
logs/B_same_B_r2.time,29.31,16.26,0.01,55,1,1208
logs/B_same_B_r3.time,29.77,16.22,0.02,54,1,1242
logs/C_diff_A_r1.time,11.01,11.98,0.02,109,6,17
logs/C_diff_A_r2.time,12.74,13.87,0.02,109,2,21
logs/C_diff_A_r3.time,13.99,15.25,0.01,109,1,22
logs/C_diff_B_r1.time,11.09,12.07,0.01,109,6,27
logs/C_diff_B_r2.time,12.76,13.90,0.01,109,2,22
logs/C_diff_B_r3.time,13.97,15.22,0.01,109,1,34
logs/D_nice_A_r1.time,16.76,16.50,0.01,98,1,594
logs/D_nice_A_r2.time,16.74,16.47,0.01,98,1,597
logs/D_nice_A_r3.time,16.66,16.39,0.02,98,1,595
logs/D_nice_B_r1.time,29.07,15.18,0.01,52,3,594
logs/D_nice_B_r2.time,29.68,15.87,0.01,53,1,595
logs/D_nice_B_r3.time,29.36,15.60,0.01,53,1,596
